idcontrato;nAnuncio;tipoprocedimento;objectoContrato;dataPublicacao;dataCelebracaoContrato;precoContratual;prazoExecucao;NIPC_entidade_comunicante;entidade_comunicante;fundamentacao
10625421;;Ajuste Direto Regime Geral;2024000378 - OSTEOSINTESE DE DISTAL DO ÚMERO;20/03/2024;11/01/2024;1062;31;600010180;Estado-Maior-General das Forças Armadas (EMGFA);Artigo 24.º, n.º 1, alínea e), subalínea ii) do Código dos Contratos Públicos
10625430;;Ao abrigo de acordo-quadro (art.º 259.º); Aquisição de Medicamentos do aparelho cardiovascular ao abrigo do CPA 2023/305 para a ULSASI para o ano 2024;20/03/2024;20/03/2024;94;120;503035416;Hospital Professor Doutor Fernando Fonseca, E. P. E.;Artigo 259.º do Código dos Contratos Públicos
10625432;;Consulta Prévia;Aquisição de sinalização vertical para diversas ruas do concelho;20/03/2024;19/03/2024;4895,6;66;506788490;Município de Alcochete;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625446;19153/2023;Concurso público;PI/132/2024 - Aquisição de serviços de transporte não urgente de doentes e acompanhantes em veículo dedicado ao transporte de doentes (VDTD) e Ambulância;20/03/2024;19/03/2024;1565463,99;365;506361616;Instituto Português de Oncologia de Lisboa Francisco Gentil, E. P. E.;Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos
10625488;;Ajuste Direto Regime Geral;Ajuste Direto 40/JFSDB/2024 - Consultoria e manutenção do sistema de gestão de qualidade do serviço de Higiene Urbana;20/03/2024;29/02/2024;7200;365;505203731;Freguesia de São Domingos de Benfica;Artigo 21.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625492;;Ajuste Direto Regime Geral;1065624 Cloreto de sódio 9 mg/ml Sol inj Amp 20 ml IV;20/03/2024;26/01/2024;864;20;506362299;Instituto Português de Oncologia do Porto Francisco Gentil, E. P. E.;Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625509;;Ajuste Direto Regime Geral;0402-0666-2024 (Implante coclear)  ;20/03/2024;02/02/2024;18038;20;510103448;Centro Hospitalar e Universitário de Coimbra, E. P. E.;Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625522;;Consulta Prévia;Aquisição, instalação e configuração de equipamentos informáticos para implementação de infraestrutura de rede de internet com dispositivo de segurança firewall;20/03/2024;18/03/2024;4475,9;30;504646729;APPACDM de Coimbra - Associação Portuguesa de Pais e Amigos do Cidadão Deficiente Mental;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625543;;Consulta Prévia;2524000119 Matérias Primas Relojoaria - Protocolo IEFP;20/03/2024;05/03/2024;1777;30;501390642;CASA PIA DE LISBOA, I.P.      ;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625563;22058/2023;Concurso público;AQUISIÇÃO DE SOLUÇÃO DE STORAGE E BACKUP;20/03/2024;04/03/2024;281020,66;60;501305912;Município de Matosinhos;Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos
